GAME_ID,POSSESSION_ID,TEAM_ID,START_X,START_Y,END_X,DISTANCE,DURATION,THIRD,DOMINANT_ZONE,ENTRY_ZONE,EXIT_ZONE,START_TIME,END_TIME,DEF_WIDTH,SHOT,XG,GOAL,TURNOVER,TEAM_0_SCORE,TEAM_1_SCORE,SCORE_STATE
6,8823,1,60.07236,39.82389,45.427746,14.644615,30,middle_third,central,central,central,281,310,10.569,False,0.0,False,True,1.0,0.0,losing
6,8861,0,72.65211,41.307556,86.8811,14.228996,51,middle_third,central,central,central,367,417,11.109,False,0.0,False,False,1.0,0.0,winning
6,8950,0,94.95073,20.37378,108.91623,13.9655,33,final_third,wide,wide,wide,538,570,14.512,True,0.17237015612983994,False,False,1.0,0.0,winning
6,9037,0,49.44139,39.621628,63.915825,14.474434,31,middle_third,central,central,central,675,705,14.023,False,0.0,False,True,1.0,0.0,winning
6,9160,0,72.665054,61.87412,99.4736,26.808548,35,middle_third,wide,wide,wide,893,927,14.461,False,0.0,False,False,1.0,0.0,winning
6,9185,0,97.69932,53.863186,108.71286,11.013542,19,final_third,central,central,central,987,1005,13.358,True,0.173788550588409,True,False,1.0,0.0,winning
6,9300,0,38.15832,30.55214,48.52705,10.368729,22,defensive_third,central,central,central,1192,1213,15.12,False,0.0,False,True,2.0,0.0,winning
6,9385,0,76.201584,40.627014,100.311646,24.110062,38,middle_third,central,central,central,1339,1376,13.781,True,0.002209457668664231,True,False,2.0,0.0,winning
6,9424,1,30.70118,43.472878,19.432648,11.268532,35,final_third,central,central,central,1491,1525,10.767,False,0.0,False,False,3.0,0.0,losing
6,9578,0,96.58886,24.885757,108.74324,12.154381,40,final_third,wide,central,wide,1832,1871,14.34,True,0.14446352801784407,False,False,3.0,0.0,winning
6,9675,1,34.354935,14.657049,13.703681,20.651253,36,final_third,wide,wide,wide,1974,2009,15.285,False,0.0,False,True,3.0,0.0,losing
6,9695,0,35.14297,7.3627434,47.766567,12.623596,27,defensive_third,wide,wide,wide,2034,2060,16.097,False,0.0,False,False,3.0,0.0,winning
6,9746,0,88.419365,47.617462,102.13517,13.715805,25,final_third,central,central,central,2162,2186,13.673,True,0.17656230084470392,False,False,3.0,0.0,winning
6,9868,1,54.426388,15.25443,19.086428,35.33996,92,middle_third,wide,wide,wide,2379,2470,14.595,False,0.0,False,False,3.0,0.0,losing
6,9934,0,1.4660847,66.0299,33.357567,31.891481,141,defensive_third,central,wide,central,2639,2779,15.931,False,0.0,False,False,3.0,0.0,winning
6,9989,0,27.967833,58.763443,38.775955,10.808123,52,defensive_third,central,wide,central,2904,2955,15.33,False,0.0,False,False,3.0,0.0,winning
7,10032,0,97.03753,7.313184,108.13541,11.0978775,36,final_third,wide,wide,wide,106,141,12.854,False,0.0,False,False,0.0,0.0,tied
7,10106,1,50.229668,8.256782,17.346443,32.883224,50,middle_third,wide,wide,wide,247,296,15.947,False,0.0,False,True,0.0,0.0,tied
7,10199,0,73.02813,40.691586,102.708565,29.680435,38,middle_third,central,central,central,423,460,13.934,False,0.0,False,True,0.0,0.0,tied
7,10270,1,57.806816,53.694054,43.454655,14.352161,21,middle_third,central,central,wide,645,665,14.118,False,0.0,False,False,0.0,0.0,tied
7,10298,1,31.325197,51.943886,12.196402,19.128796,35,final_third,wide,central,wide,696,730,14.102,True,0.23338841990332218,False,False,0.0,0.0,tied
7,10548,0,65.21958,38.970146,77.73971,12.520126,23,middle_third,central,central,central,1123,1145,14.011,False,0.0,False,False,0.0,0.0,tied
7,10641,0,80.54067,17.612587,94.401924,13.861252,31,final_third,wide,wide,wide,1378,1408,11.355,False,0.0,False,False,1.0,0.0,winning
7,10682,0,105.37487,23.785198,117.11238,11.737511,23,final_third,wide,wide,wide,1477,1499,13.753,True,0.12810376430890003,False,False,1.0,0.0,winning
7,10760,1,28.561821,54.56209,15.173568,13.388253,82,final_third,wide,central,wide,1609,1690,14.572,False,0.0,False,False,1.0,0.0,losing
7,10821,1,65.107124,43.187428,52.03884,13.068283,26,middle_third,central,central,central,1780,1805,13.847,False,0.0,False,False,1.0,0.0,losing
7,10974,0,66.1186,27.546537,86.413,20.294403,66,middle_third,central,central,central,2044,2109,13.548,False,0.0,False,True,1.0,0.0,winning
7,11030,0,65.62587,44.008236,77.52933,11.903458,23,middle_third,central,central,central,2188,2210,9.861,False,0.0,False,False,1.0,1.0,tied
7,11179,0,69.19622,19.493237,82.02278,12.826561,21,middle_third,wide,wide,wide,2431,2451,14.537,False,0.0,False,True,1.0,1.0,tied
7,11356,0,78.01947,24.143679,91.39474,13.375267,26,middle_third,wide,central,wide,2724,2749,13.398,False,0.0,False,False,1.0,1.0,tied
8,11572,0,79.413574,51.548687,93.87981,14.466232,22,middle_third,central,central,central,66,87,7.997,False,0.0,False,True,0.0,0.0,tied
8,11915,1,50.706474,46.046837,24.055866,26.650608,82,middle_third,wide,central,wide,649,730,13.851,False,0.0,False,True,0.0,0.0,tied
8,12055,0,68.03263,57.545982,80.344025,12.311394,54,middle_third,central,wide,central,894,947,13.001,False,0.0,False,False,0.0,0.0,tied
8,12174,1,60.93266,44.46474,38.716206,22.216454,49,middle_third,central,central,central,1181,1229,13.526,False,0.0,False,False,0.0,0.0,tied
8,12184,1,39.68986,49.355793,12.132411,27.55745,58,final_third,wide,central,wide,1239,1296,14.237,True,0.16290205642059274,False,False,0.0,0.0,tied
8,12383,0,76.10098,72.533325,95.425446,19.324463,33,middle_third,wide,wide,wide,1599,1631,15.256,False,0.0,False,True,0.0,0.0,tied
8,12450,0,69.63131,28.727524,81.12845,11.497139,30,middle_third,central,central,central,1709,1738,13.555,False,0.0,False,False,0.0,0.0,tied
8,12498,1,58.986954,50.379623,11.9771185,47.009834,64,middle_third,central,central,central,1805,1868,13.282,True,0.17347208588507237,False,False,0.0,0.0,tied
8,12541,0,7.2848473,56.59108,21.709686,14.424839,39,defensive_third,wide,wide,central,1911,1949,16.033,False,0.0,False,False,0.0,0.0,tied
8,12564,0,40.413837,39.017056,62.62364,22.2098,36,middle_third,central,central,central,1976,2011,14.667,False,0.0,False,False,0.0,0.0,tied
8,12613,0,82.76835,32.23365,105.283455,22.515106,37,final_third,central,central,central,2097,2133,13.904,False,0.0,False,False,0.0,0.0,tied
